期号,日期,窗口期,z_score,p_value,等级
26015,2026-02-03,26064~26015,6.4031,0.132274,严重
26014,2026-02-01,26063~26014,6.1758,0.210274,严重
26013,2026-01-29,26062~26013,5.7324,0.424724,严重
26012,2026-01-27,26061~26012,5.557,0.523113,严重
26011,2026-01-25,26060~26011,5.6745,0.456855,严重
26010,2026-01-22,26059~26010,5.4973,0.556823,严重
26009,2026-01-20,26058~26009,5.7706,0.403798,严重
26008,2026-01-18,26057~26008,5.7324,0.424724,严重
26007,2026-01-15,26056~26007,5.6745,0.456855,严重
26006,2026-01-13,26055~26006,5.8464,0.363341,严重
26005,2026-01-11,26054~26005,5.9397,0.315776,严重
26004,2026-01-08,26053~26004,5.8275,0.373268,严重
26003,2026-01-06,26052~26003,5.6356,0.478694,严重
26002,2026-01-04,26051~26002,5.616,0.489718,严重
26001,2026-01-01,26050~26001,5.616,0.489718,严重
25151,2025-12-30,26049~25151,5.4973,0.556823,严重
25150,2025-12-28,26048~25150,5.7706,0.403798,严重
25149,2025-12-25,26047~25149,6.0133,0.280409,严重
25148,2025-12-23,26046~25148,6.2113,0.196506,严重
25147,2025-12-21,26045~25147,6.1579,0.217407,严重
25146,2025-12-18,26044~25146,6.0316,0.271961,严重
25145,2025-12-16,26043~25145,5.7324,0.424724,严重
25144,2025-12-14,26042~25144,5.5767,0.511935,严重
25143,2025-12-11,26041~25143,5.7706,0.403798,严重
25142,2025-12-09,26040~25142,6.0133,0.280409,严重
25141,2025-12-07,26039~25141,6.0679,0.255552,严重
25140,2025-12-04,26038~25140,6.334,0.153437,严重
25139,2025-12-02,26037~25139,6.2113,0.196506,严重
25138,2025-11-30,26036~25138,6.3166,0.159112,严重
25137,2025-11-27,26035~25137,6.1041,0.239798,严重
25136,2025-11-25,26034~25136,5.9025,0.334373,严重
25135,2025-11-23,26033~25135,5.6939,0.446054,严重
25134,2025-11-20,26032~25134,5.8652,0.353547,严重
25133,2025-11-18,26031~25133,5.6745,0.456855,严重
25132,2025-11-16,26030~25132,5.4571,0.579356,严重
25131,2025-11-13,26029~25131,5.6745,0.456855,严重
25130,2025-11-11,26028~25130,5.7706,0.403798,严重
25129,2025-11-09,26027~25129,5.9766,0.297781,严重
25128,2025-11-06,26026~25128,5.9582,0.306702,严重
25127,2025-11-04,26025~25127,6.0133,0.280409,严重
25126,2025-11-02,26024~25126,5.8652,0.353547,严重
25125,2025-10-30,26023~25125,6.0498,0.263675,严重
25124,2025-10-28,26022~25124,5.9766,0.297781,严重
25123,2025-10-26,26021~25123,6.086,0.247593,严重
25122,2025-10-23,26020~25122,5.7706,0.403798,严重
25121,2025-10-21,26019~25121,5.5964,0.500801,严重
25120,2025-10-19,26018~25120,5.9766,0.297781,严重
25119,2025-10-16,26017~25119,6.2642,0.177083,严重
25118,2025-10-14,26016~25118,6.0679,0.255552,严重
