期号,开奖日期,销售额,奖池,一等奖注数,一等奖单注奖金,二等奖注数,二等奖单注奖金,三等奖注数,三等奖单注奖金,四等奖注数,四等奖单注奖金,五等奖注数,五等奖单注奖金,六等奖注数,六等奖单注奖金,一等奖派奖注数,一等奖派奖单注奖金,二等奖派奖注数,二等奖派奖单注奖金,三等奖派奖注数,三等奖派奖单注奖金,四等奖派奖注数,四等奖派奖单注奖金,五等奖派奖注数,五等奖派奖单注奖金,六等奖派奖注数,六等奖派奖单注奖金
04101,2004-05-21,,0.0,1,5000000,4,134430,194,1847,2852,300,35893,20,411397,5,,,,,,,,,,,,
04102,2004-05-23,,0.0,0,,7,50159,138,1696,1629,300,18805,20,214858,5,,,,,,,,,,,,
04103,2004-05-25,,0.0,1,5000000,5,103723,138,2505,2073,300,25002,20,320194,5,,,,,,,,,,,,
04104,2004-05-28,,0.0,2,5000000,28,28554,167,3191,2409,300,32410,20,407678,5,,,,,,,,,,,,
04105,2004-05-30,,0.0,0,,8,84828,141,3208,1907,300,25506,20,317427,5,,,,,,,,,,,,
04106,2004-06-01,,0.0,1,5000000,14,53344,240,2074,3224,300,38197,20,424244,5,,,,,,,,,,,,
04107,2004-06-04,,0.0,2,5000000,17,51118,241,2403,3308,300,40999,20,494361,5,,,,,,,,,,,,
04108,2004-06-06,,0.0,0,,13,53893,251,1860,2981,300,33228,20,384110,5,,,,,,,,,,,,
04109,2004-06-08,,0.0,1,5000000,11,80688,188,3147,3120,300,37415,20,477056,5,,,,,,,,,,,,
04110,2004-06-11,,0.0,0,,22,49287,309,2339,3749,300,48975,20,623870,5,,,,,,,,,,,,
04111,2004-06-13,,0.0,2,5000000,37,99691,370,1329,4224,300,48583,20,519751,5,,,,,,,,,,,,
04112,2004-06-15,,0.0,0,,27,33691,309,1962,4122,300,50869,20,587097,5,,,,,,,,,,,,
04113,2004-06-18,,0.0,1,5000000,47,20938,423,1550,5500,300,61445,20,682375,5,,,,,,,,,,,,
04114,2004-06-20,,0.0,2,5000000,21,34639,457,1061,4911,300,49169,20,492693,5,,,,,,,,,,,,
04115,2004-06-22,,0.0,0,,9,114300,228,3007,2955,300,41215,20,542202,5,,,,,,,,,,,,
04116,2004-06-25,,0.0,1,5000000,17,64333,376,1939,4210,300,51039,20,619079,5,,,,,,,,,,,,
04117,2004-06-27,,0.0,0,,13,60595,251,2092,3374,300,41420,20,479436,5,,,,,,,,,,,,
04118,2004-06-29,,0.0,0,,7,148471,131,5289,2521,300,35480,20,476597,5,,,,,,,,,,,,
04119,2004-07-02,,0.0,2,5000000,28,170803,481,1325,4988,300,57993,20,657802,5,,,,,,,,,,,,
04120,2004-07-04,,0.0,1,5000000,13,66015,168,3405,2458,300,34603,20,438390,5,,,,,,,,,,,,
04121,2004-07-06,,0.0,0,,20,47549,219,2894,3007,300,39509,20,480779,5,,,,,,,,,,,,
04122,2004-07-09,,0.0,3,5000000,22,45386,320,2080,4101,300,50746,20,611900,5,,,,,,,,,,,,
04123,2004-07-11,,0.0,0,,17,48793,211,2620,2601,300,34743,20,426424,5,,,,,,,,,,,,
04124,2004-07-13,,0.0,2,5000000,16,56092,257,2328,3338,300,42983,20,567978,5,,,,,,,,,,,,
04125,2004-07-16,,0.0,1,5000000,31,25089,571,908,6300,300,70232,20,740637,5,,,,,,,,,,,,
04126,2004-07-18,,0.0,0,,20,34332,257,1781,3971,300,50321,20,538763,5,,,,,,,,,,,,
04127,2004-07-20,,0.0,0,,5,197436,182,3616,2796,300,40802,20,478459,5,,,,,,,,,,,,
04128,2004-07-23,,0.0,0,,26,34359,380,1567,5231,300,59674,20,632211,5,,,,,,,,,,,,
04129,2004-07-25,,0.0,0,,8,111010,172,3442,2403,300,31825,20,408707,5,,,,,,,,,,,,
04130,2004-07-27,,0.0,3,5000000,2,2517783,204,3291,3353,300,39462,20,490231,5,,,,,,,,,,,,
