期号,红球1,红球2,红球3,红球4,红球5,红球6,蓝球1,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,开奖日期
26108,6,11,13,14,20,28,16,0,0,0,0,0,0,17/09/2026
26107,1,5,9,17,24,33,4,0,0,0,0,0,0,15/09/2026
26106,6,11,13,14,22,30,14,0,0,0,0,0,0,13/09/2026
26105,2,4,13,14,15,30,8,833007469,1,10000000,100,148168,333874688,10/09/2026
26104,11,12,13,19,20,31,3,798557035,11,6596605,171,128382,333116798,08/09/2026
26103,4,11,20,27,28,30,15,805259723,7,8013753,125,210962,362416068,06/09/2026
26102,3,4,10,13,16,25,9,782244968,4,8286261,93,176680,335960988,03/09/2026
26101,5,6,8,9,24,25,12,766096090,4,8881916,183,106063,329493946,01/09/2026
26100,3,4,9,13,22,31,4,743395010,40,2500000,217,102830,357107230,30/08/2026
26099,1,12,14,18,30,31,2,776452438,2,10000000,75,379034,344486222,27/08/2026
26098,8,16,18,22,25,26,7,711169786,7,6866583,122,133873,337464770,25/08/2026
26097,5,16,24,26,29,30,2,710238057,2,10000000,96,264245,369897178,23/08/2026
26096,1,4,16,22,26,31,4,654135395,6,8348282,118,212814,344932190,20/08/2026
26095,4,6,14,21,22,33,16,628888733,7,7475143,112,193370,347737104,18/08/2026
26094,6,13,15,17,24,25,1,616242219,4,10000000,142,210861,373881722,16/08/2026
26093,5,8,15,20,21,24,9,566415284,8,6581443,109,145086,348046564,13/08/2026
26092,9,11,12,25,30,33,11,571623532,12,6466298,79,278411,339633672,11/08/2026
26091,2,13,14,16,20,24,5,583235682,4,10000000,79,328709,367362274,09/08/2026
26090,2,4,15,23,25,27,3,545331466,3,10000000,86,332528,348980318,06/08/2026
26089,5,18,23,24,27,33,3,489539135,3,10000000,88,293109,345041020,04/08/2026
26088,6,7,11,18,22,33,5,442158322,34,2941176,506,45037,373747432,02/08/2026
26087,4,6,10,18,23,31,11,473791046,8,7296989,108,212684,349545040,30/07/2026
