期号,红球1,红球2,红球3,红球4,红球5,蓝球1,蓝球2,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,开奖日期
26106,14,17,21,25,28,4,6,826970067,3,10000000,71,200438,290236360,16/09/2026
26105,10,14,30,33,34,9,12,0,0,0,0,0,0,14/09/2026
26104,1,6,14,15,26,8,9,0,0,0,0,0,0,12/09/2026
26103,3,16,17,32,35,2,12,763164025,3,10000000,68,241603,296391996,09/09/2026
26102,1,3,7,27,28,6,7,725321799,1,10000000,183,57598,291295536,07/09/2026
26101,9,11,18,26,33,9,11,692723357,10,5927001,167,81242,315133456,05/09/2026
26100,2,6,11,15,31,7,8,728785802,6,6733541,109,129804,293430528,02/09/2026
26099,2,17,20,29,33,8,9,728556728,4,8305500,98,144001,295696198,31/08/2026
26098,7,9,18,19,21,2,9,706544164,15,5050505,211,46996,211224461,29/08/2026
26097,3,10,12,20,25,1,9,762988476,7,6840926,152,84016,296031159,26/08/2026
26096,8,9,10,11,25,4,12,760346716,9,6561952,222,57893,300992176,24/08/2026
26095,4,6,8,10,14,4,5,801693150,6,7103866,200,60688,323275140,22/08/2026
26094,5,14,15,17,33,1,7,795085879,3,8380751,89,174914,305764076,19/08/2026
26093,8,10,22,26,29,3,10,772986653,10,5848781,165,48915,301981951,17/08/2026
26092,12,16,19,29,33,7,9,822403232,4,9601645,97,194094,326419006,15/08/2026
26091,3,4,7,12,32,1,2,835359282,3,10000000,65,343183,303722394,12/08/2026
26090,9,14,17,19,24,2,9,825721619,2,10000000,93,155846,298321791,10/08/2026
26089,3,7,12,14,26,5,11,817996545,3,9058951,150,97508,326458125,08/08/2026
26088,3,9,11,24,27,5,11,792266898,2,9662603,160,74485,305815169,05/08/2026
26087,5,10,16,24,27,4,10,768406559,9,6547013,172,82652,306098479,03/08/2026
26086,10,11,18,22,35,6,12,813207390,2,10000000,121,129265,327985310,01/08/2026
26085,3,4,14,28,31,5,7,804161465,2,10000000,94,149583,302145325,29/07/2026
26084,13,25,30,32,33,4,5,770490758,8,6621689,81,153450,300483424,27/07/2026
26083,14,15,16,23,26,7,9,772867560,8,7215569,135,119029,316550987,25/07/2026
26082,16,26,27,28,34,2,6,807119056,5,8286251,76,205390,295623678,22/07/2026
26081,8,16,18,24,34,9,12,784468404,5,8031396,125,110123,301607097,20/07/2026
