期号,开奖日期,销售额,奖池,直选注数,直选单注奖金,组选3注数,组选3单注奖金,组选6注数,组选6单注奖金
04001,2004-11-14,,0.0,335,1000,0,,889,160
04002,2004-11-16,,0.0,415,1000,0,,1457,160
04003,2004-11-19,,0.0,485,1000,0,,1174,160
04004,2004-11-21,,0.0,545,1000,700,320,0,
04005,2004-11-22,,0.0,222,1000,0,,604,160
04006,2004-11-23,,0.0,869,1000,0,,2973,160
04007,2004-11-24,,0.0,529,1000,0,,1249,160
04008,2004-11-25,,0.0,434,1000,715,320,0,
04009,2004-11-26,,0.0,325,1000,659,320,0,
04010,2004-11-27,,0.0,669,1000,514,320,0,
04011,2004-11-28,,0.0,470,1000,0,,2060,160
04012,2004-11-29,,0.0,219,1000,0,,739,160
04013,2004-11-30,,0.0,259,1000,273,320,0,
04014,2004-12-01,,0.0,638,1000,770,320,0,
04015,2004-12-02,,0.0,789,1000,0,,1508,160
04016,2004-12-03,,0.0,489,1000,0,,0,
04017,2004-12-04,,0.0,280,1000,0,,1047,160
04018,2004-12-05,,0.0,510,1000,0,,1642,160
04019,2004-12-06,,0.0,582,1000,0,,1669,160
04020,2004-12-07,,0.0,429,1000,0,,1220,160
04021,2004-12-08,,0.0,894,1111,1297,320,0,
04022,2004-12-09,,0.0,658,1151,0,,1299,160
04023,2004-12-10,,0.0,418,1239,0,,1758,160
04024,2004-12-11,,0.0,771,1129,737,320,0,
04025,2004-12-12,,0.0,1208,1082,0,,1981,160
04026,2004-12-13,,0.0,565,1176,0,,1494,160
04027,2004-12-14,,0.0,1775,1056,1572,320,0,
04028,2004-12-15,,0.0,1185,1084,0,,2579,160
04029,2004-12-16,,0.0,1988,1050,0,,2814,160
04030,2004-12-17,,0.0,1300,1076,0,,865,160
04031,2004-12-18,,0.0,1804,1055,0,,2703,160
04032,2004-12-19,,0.0,1129,1088,0,,2280,160
04033,2004-12-20,,0.0,2094,1047,2764,320,0,
04034,2004-12-21,,0.0,2394,1041,653,320,0,
04035,2004-12-22,,0.0,1478,1067,0,,6423,160
04036,2004-12-23,,0.0,1598,1062,830,320,0,
04037,2004-12-24,,0.0,1573,1063,0,,3860,160
04038,2004-12-25,,0.0,1967,1050,0,,2969,160
04039,2004-12-26,,0.0,2472,1040,0,,1179,160
04040,2004-12-27,,0.0,1685,1059,1956,320,0,
04041,2004-12-28,,0.0,3765,1026,0,,4097,160
04042,2004-12-29,,0.0,7004,1014,0,,3248,160
04043,2004-12-30,,0.0,778,1128,0,,1649,160
04044,2004-12-31,,0.0,1818,1055,0,,2819,160
05001,2005-01-01,,0.0,1437,1069,0,,1861,160
05002,2005-01-02,,0.0,3373,1029,3313,320,0,
