期号,开奖日期,销售额,奖池,一等奖注数,一等奖单注奖金
04001,2004-11-14,,0.0,1,50000
04002,2004-11-16,,0.0,3,50000
04003,2004-11-19,,0.0,4,50000
04004,2004-11-21,,0.0,0,50000
04005,2004-11-22,,0.0,4,50000
04006,2004-11-23,,0.0,0,50000
04007,2004-11-24,,0.0,1,50000
04008,2004-11-25,,0.0,0,50000
04009,2004-11-26,,0.0,2,50000
04010,2004-11-27,,0.0,0,50000
04011,2004-11-28,,0.0,1,50000
04012,2004-11-29,,0.0,0,50000
04013,2004-11-30,,0.0,0,50000
04014,2004-12-01,,0.0,1,50000
04015,2004-12-02,,0.0,1,50000
04016,2004-12-03,,0.0,0,50000
04017,2004-12-04,,0.0,1,50000
04018,2004-12-05,,0.0,0,50000
04019,2004-12-06,,0.0,1,50000
04020,2004-12-07,,0.0,0,50000
04021,2004-12-08,,0.0,0,50000
04022,2004-12-09,,0.0,1,50000
04023,2004-12-10,,0.0,0,50000
04024,2004-12-11,,0.0,0,50000
04025,2004-12-12,,0.0,1,50000
04026,2004-12-13,,0.0,0,50000
04027,2004-12-14,,0.0,1,50000
04028,2004-12-15,,0.0,1,50000
04029,2004-12-16,,0.0,2,50000
04030,2004-12-17,,0.0,2,50000
04031,2004-12-18,,0.0,2,50000
04032,2004-12-19,,0.0,2,50000
04033,2004-12-20,,0.0,0,50000
04034,2004-12-21,,0.0,0,50000
04035,2004-12-22,,0.0,0,50000
04036,2004-12-23,,0.0,0,50000
04037,2004-12-24,,0.0,3,50000
04038,2004-12-25,,0.0,0,50000
04039,2004-12-26,,0.0,1,50000
04040,2004-12-27,,0.0,2,50000
04041,2004-12-28,,0.0,1,50000
04042,2004-12-29,,0.0,3,50000
04043,2004-12-30,,0.0,0,50000
04044,2004-12-31,,0.0,3,50000
05001,2005-01-01,,0.0,2,50000
05002,2005-01-02,,0.0,1,50000
05003,2005-01-03,,0.0,8,100000
05004,2005-01-04,,0.0,1,100000
05005,2005-01-05,,0.0,5,100000
05006,2005-01-06,,0.0,2,100000
05007,2005-01-07,,0.0,4,100000
05008,2005-01-08,,0.0,16,100000
05009,2005-01-09,,0.0,0,100000
05010,2005-01-10,,0.0,6,100000
05011,2005-01-11,,0.0,5,100000
05012,2005-01-12,,0.0,1,100000
05013,2005-01-13,,0.0,2,100000
05014,2005-01-14,,0.0,2,100000
05015,2005-01-15,,0.0,16,100000
05016,2005-01-16,,0.0,1,100000
05017,2005-01-17,,0.0,4,100000
05018,2005-01-18,,0.0,4,100000
05019,2005-01-19,,0.0,4,100000
05020,2005-01-20,,0.0,14,100000
05021,2005-01-21,,0.0,3,100000
05022,2005-01-22,,0.0,8,100000
05023,2005-01-23,,0.0,5,100000
05024,2005-01-24,,0.0,57,100000
05025,2005-01-25,,0.0,3,100000
05026,2005-01-26,,0.0,13,100000
05027,2005-01-27,,0.0,3,100000
05028,2005-01-28,,0.0,9,100000
05029,2005-01-29,,0.0,12,100000
05030,2005-01-30,,0.0,6,100000
05031,2005-01-31,,0.0,2,100000
05032,2005-02-01,,0.0,17,100000
05033,2005-02-02,,0.0,3,100000
05034,2005-02-03,,0.0,10,100000
05035,2005-02-04,,0.0,8,100000
05036,2005-02-05,,0.0,18,100000
05037,2005-02-06,,0.0,4,100000
05038,2005-02-07,,0.0,7,100000
05039,2005-02-08,,0.0,5,100000
05040,2005-02-16,,0.0,0,100000
