期号,开奖日期,销售额,奖池,直选注数,直选单注奖金,组选3注数,组选3单注奖金,组选6注数,组选6单注奖金
2004001,2004-10-18,4143184,,505,980,1317,160,,
2004002,2004-10-19,3026718,,1011,980,1861,320,,
2004003,2004-10-20,3280608,,585,980,,,3950,160
2004004,2004-10-21,3447146,,454,980,,,3185,160
2004005,2004-10-22,3510020,,516,980,,,2730,160
2004006,2004-10-23,3297440,,1708,980,2601,320,,
2004007,2004-10-24,3071100,,1219,980,1997,320,,
2004008,2004-10-25,3255474,,853,980,,,4591,160
2004009,2004-10-26,3355906,,824,980,1569,320,,
2004010,2004-10-27,3627176,,2169,980,2936,320,,
2004011,2004-10-28,3713534,,907,980,,,3687,160
2004012,2004-10-29,3986350,,655,980,990,320,,
2004013,2004-10-30,3859626,,514,980,2405,320,,
2004014,2004-10-31,4027212,,466,980,,,2296,160
2004015,2004-11-01,4256120,,878,980,,,3864,160
2004016,2004-11-02,4319854,,815,980,,,2790,160
2004017,2004-11-03,4744524,,1164,980,3540,320,,
2004018,2004-11-04,4589258,,1552,980,3804,320,,
2004019,2004-11-05,4669616,,1240,980,,,3599,160
2004020,2004-11-06,4578192,,2271,980,,,4351,160
2004021,2004-11-07,4785412,,390,980,,,2154,160
2004022,2004-11-08,5183910,,1268,980,,,3953,160
2004023,2004-11-09,5334404,,1314,980,,,6202,160
2004024,2004-11-10,5509382,,719,980,,,4082,160
2004025,2004-11-11,5410748,,3131,980,,,3555,160
2004026,2004-11-12,5010620,,1853,980,,,5308,160
2004027,2004-11-13,4774684,,1793,980,,,3426,160
2004028,2004-11-14,4866810,,1397,980,,,2386,160
2004029,2004-11-15,5282758,,1287,980,,,3535,160
2004030,2004-11-16,5161950,,601,980,,,2895,160
2004031,2004-11-17,5448552,,614,980,4147,320,,
2004032,2004-11-18,4901812,,941,980,2300,320,,
2004033,2004-11-19,4889384,,1273,980,3137,320,,
2004034,2004-11-20,4677016,,1518,980,,,5131,160
2004035,2004-11-21,4844288,,1859,980,4014,320,,
2004036,2004-11-22,5261120,,1970,980,4568,320,,
2004037,2004-11-23,5447846,,824,980,2679,320,,
2004038,2004-11-24,5666692,,1546,980,,,5862,160
2004039,2004-11-25,5516204,,5750,980,4157,320,,
2004040,2004-11-26,5138706,,1170,980,,,5006,160
2004041,2004-11-27,5067702,,332,980,,,3530,160
2004042,2004-11-28,5064618,,1829,980,2054,320,,
2004043,2004-11-29,5343374,,2061,980,5612,320,,
2004044,2004-11-30,5346956,,1063,980,,,2690,160
2004045,2004-12-01,5932302,,2959,980,,,6318,160
2004046,2004-12-02,6284700,,1222,980,,,6985,160
2004047,2004-12-03,6630010,,4049,980,,,6982,160
2004048,2004-12-04,6844328,,3264,980,,,10205,160
2004049,2004-12-05,6840466,,2579,980,,,5879,160
2004050,2004-12-06,7307638,,1169,980,2856,320,,
2004051,2004-12-07,7131540,,4489,980,10861,320,,
2004052,2004-12-08,7107186,,1878,980,,,5555,160
2004053,2004-12-09,7189966,,2651,980,,,11143,160
2004054,2004-12-10,7574134,,792,980,2345,320,,
2004055,2004-12-11,7590750,,2130,980,,,3052,160
2004056,2004-12-12,7239542,,3708,980,,,9403,160
2004057,2004-12-13,7791782,,1745,980,4141,320,,
2004058,2004-12-14,7961934,,3280,980,5306,320,,
2004059,2004-12-15,7837852,,2020,980,3100,320,,
2004060,2004-12-16,7963386,,3856,980,,,10558,160
2004061,2004-12-17,8506858,,3804,980,,,10645,160
2004062,2004-12-18,8585384,,2018,980,,,4689,160
2004063,2004-12-19,8506244,,3158,980,,,9798,160
2004064,2004-12-20,9375002,,3201,1000,,,6227,160
2004065,2004-12-21,9329874,,2291,1000,,,8319,160
2004066,2004-12-22,9673466,,4187,1000,7549,320,,
2004067,2004-12-23,10048580,,3172,1000,,,8019,160
2004068,2004-12-24,9917686,,5488,1000,,,17808,160
2004069,2004-12-25,9652500,,7378,1000,,,6209,160
2004070,2004-12-26,8918274,,2107,1000,,,5133,160
2004071,2004-12-27,9513778,,1898,1000,,,5259,160
2004072,2004-12-28,9386532,,1331,1000,,,5517,160
2004073,2004-12-29,10001394,,4486,1000,7549,320,,
2004074,2004-12-30,9879306,,1307,1000,,,6495,160
2004075,2004-12-31,9977112,,5266,1000,,,6255,160
2005001,2005-01-01,11640852,,3112,1000,,,9181,160
2005002,2005-01-02,11011520,,972,1000,,,7029,160
2005003,2005-01-03,11233116,,3652,1000,,,8151,160
2005004,2005-01-04,11763952,,1605,1000,,,7277,160
2005005,2005-01-05,12847386,,4029,1000,,,8155,160
2005006,2005-01-06,13119350,,4575,1000,,,9842,160
2005007,2005-01-07,13387300,,6461,1000,,,13033,160
2005008,2005-01-08,14041154,,1673,1000,5065,320,,
2005009,2005-01-09,12570554,,8000,1000,13665,320,,
2005010,2005-01-10,13685942,,2667,1000,,,6543,160
2005011,2005-01-11,13493600,,9535,1000,,,8467,160
2005012,2005-01-12,12763958,,7406,1000,,,18678,160
2005013,2005-01-13,13089546,,1218,1000,,,5990,160
2005014,2005-01-14,12947620,,2276,1000,,,7735,160
2005015,2005-01-15,12957548,,7195,1000,,,15324,160
2005016,2005-01-16,13152314,,3800,1000,,,6648,160
2005017,2005-01-17,14304738,,2188,1000,,,9944,160
2005018,2005-01-18,14806612,,5154,1000,,,14939,160
2005019,2005-01-19,16708272,,5153,1000,,,11515,160
2005020,2005-01-20,17800490,,9828,1000,11055,320,,
2005021,2005-01-21,16002822,,12401,1000,,,23672,160
2005022,2005-01-22,14570374,,3157,1000,3122,320,,
2005023,2005-01-23,15360756,,7572,1000,,,14215,160
